V_BZNO|CONM|ETB_DT|COPR_OPNP_C|BZSCAL_C|EMPCN|STD_INDS_CFC|
1000001934|테스트1934|20000314|40|4|3|47311|
1000001935|테스트1935|20000414|40|4|10|46800|
1000001936|테스트1936|20000401|40|4|8|33209|
1000001937|테스트1937|20000316|30|4|58|90199|
1000001938|테스트1938|20000318|40|4|0|46595|
1000001939|테스트1939|20000320|40|4|9|41224|
1000001940|테스트1940|20000317|21||147|63991|
1000001941|테스트1941|20000401|40|4|8|26429|
1000001942|테스트1942|20000323|40|4|56|58222|
1000001943|테스트1943|20000324|40|4|50|29199|
1000001944|테스트1944|20000401|30|4|117|20423|
1000001945|테스트1945|20000327|40|5|0|58190|
1000001946|테스트1946|20000403|30|4|63|26322|
1000001947|테스트1947|20000410|40|4|17|46204|
1000001948|테스트1948|20000328|21|2|99|46539|
1000001949|테스트1949|20000330|30|4|103|58222|
1000001950|테스트1950|20000401|30|4|31|14191|
1000001951|테스트1951|20000331|40|4|6|47121|
1000001952|테스트1952|20000401|40|4|7|13213|
1000001953|테스트1953|20000401|40|4|17|26429|
1000001954|테스트1954|20000401|30|4|14|52992|
1000001955|테스트1955|20000403|30|2|103|20202|
1000001956|테스트1956|20000403|30|6|399|46319|
1000001957|테스트1957|20000404|40|4|45|63991|
1000001958|테스트1958|20000406|21|4|86|47419|
1000001959|테스트1959|20000406|30|2|51|42322|
1000001960|테스트1960|20000406|40|4|13|42204|
1000001961|테스트1961|20000415|30|2|355|26329|
1000001962|테스트1962|20000408|10|2|1946|68121|
1000001963|테스트1963|20000410|10|2|5716|58222|
1000001964|테스트1964|20000411|40|4|3|68221|
1000001965|테스트1965|20000412|40|4|23|58222|
1000001966|테스트1966|20000414|30|4|67|41000|
1000001967|테스트1967|20000415|30|4|79|41100|
1000001968|테스트1968|20071217|40|4|18|7121|
1000001969|테스트1969|20000419|30|4|111|47711|
1000001970|테스트1970|20000419|40|4|11|46539|
1000001971|테스트1971|20000501|40|4|8|46592|
1000001972|테스트1972|20000419|40|5|15|27213|
1000001973|테스트1973|20000501|40|4|2|46750|
1000001974|테스트1974|20000421|30|4|30|42412|
1000001975|테스트1975|20000424|92|4|3|10129|
1000001976|테스트1976|20000501|30|4|85|10896|
1000001977|테스트1977|20000427|40|4|90|58222|
1000001978|테스트1978|20000428|40|4|5|71392|
1000001979|테스트1979|20000501|30|4|246|58222|
1000001980|테스트1980|20000501|21||639|20499|
1000001981|테스트1981|20000503|92|4|13|58222|
1000001982|테스트1982|20000503|40|4|4|17901|
1000001983|테스트1983|20000501|40|4|2|46721|
1000001984|테스트1984|20000918|40|5|53|26299|
1000001985|테스트1985|20000515|40|4|7|25944|
1000001986|테스트1986|20000516|40|8|6|42201|
1000001987|테스트1987|20000517|30|4|6|68112|
1000001988|테스트1988|20000517|40|4|17|26129|
1000001989|테스트1989|20000520|30|4|12|46510|
1000001990|테스트1990|20000518|40|4|16|20423|
1000001991|테스트1991|20000518|40|4|19|46462|
1000001992|테스트1992|20000510|30||438|68223|
1000001993|테스트1993|20000519|26|4|118|27199|
1000001994|테스트1994|20000519|30||323|68223|
1000001995|테스트1995|20000601|91|4|403|58211|
1000001996|테스트1996|20000522|40|4|20|71531|
1000001997|테스트1997|20000501|40|4|5|46599|
1000001998|테스트1998|20000525|40|4|4|61291|
1000001999|테스트1999|20000601|30|4|38|63991|
1000002000|테스트2000|20000528|40|4|23|27199|
1000002001|테스트2001|20000616|30|4|18|45212|
1000002002|테스트2002|20161111|40|4|8|28119|
1000002003|테스트2003|20000527|30|4|189|68223|
1000002004|테스트2004|20010801|40|2|5|68223|
1000002005|테스트2005|20000529|30||40|14191|
1000002006|테스트2006|20000529|40|2|26|10793|
1000002007|테스트2007|20000601|30||71|10893|
1000002008|테스트2008|20000601|40|4|6|62010|
1000002009|테스트2009|20000530|21|4|179|27194|
1000002010|테스트2010|20150202|40|4|2|96994|
1000002011|테스트2011|20000601|40|4|0|46721|
1000002012|테스트2012|20000602|30|4|21|46739|
1000002013|테스트2013|20000601|30|4|39|29271|
1000002014|테스트2014|20000608|30|4|65|26429|
1000002015|테스트2015|20000609|40|4|23|26410|
1000002016|테스트2016|20000612|30||45|46313|
1000002017|테스트2017|20000609|40|4|5|10796|
1000002018|테스트2018|20000612|30|4|64|76320|
1000002019|테스트2019|20000614|30|2|104|20423|
1000002020|테스트2020|20000615|30||447|68223|
1000002021|테스트2021|20000701|30|4|88|85503|
1000002022|테스트2022|20000615|40|4|5|46731|
1000002023|테스트2023|20000622|40|4|9|13999|
1000002024|테스트2024|20000616|40|4|17|46432|
1000002025|테스트2025|20000620|30|2|1153|56221|
1000002026|테스트2026|20000616|30||179|63991|
1000002027|테스트2027|20000701|40|4|8|46721|
1000002028|테스트2028|20000701|40|4|4|26310|
1000002029|테스트2029|20000701|40|4|10|42412|
1000002030|테스트2030|20000622|40|4|14|58222|
1000002031|테스트2031|20000622|30|4|194|28909|
1000002032|테스트2032|20000622|30|4|126|28909|
1000002033|테스트2033|20000701|40|2|25||
1000002034|테스트2034|20000701|30|4|77|58222|
1000002035|테스트2035|20000623|30|4|97|58222|
1000002036|테스트2036|20000626|91|4|75|26410|
1000002037|테스트2037|20000626|30||7178|75320|
1000002038|테스트2038|20000629|40|5|30|90199|
1000002039|테스트2039|20000701|40|4|30|42195|
1000002040|테스트2040|20000822|30|2|98|46510|
1000002041|테스트2041|20000701|30|4|90|46315|
1000002042|테스트2042|20000705|40|4|7|33910|
1000002043|테스트2043|20000705|30||259|46442|
1000002044|테스트2044|20000706|40|8|1|13229|
1000002045|테스트2045|20000706|40|4|5|68112|
1000002046|테스트2046|20000710|30|4|71|29132|
1000002047|테스트2047|20000707|40|5|15|10799|
1000002048|테스트2048|20000801|30|4|27|46510|
1000002049|테스트2049|20000721|40|4|16|28123|
1000002050|테스트2050|20000714|40|4|10|38302|
1000002051|테스트2051|20000714|30|4|34|52992|
1000002052|테스트2052|20000828|40|4|12|41229|
1000002053|테스트2053|20000901|30|4|40|28112|
1000002054|테스트2054|20000724|92|4|53|18119|
1000002055|테스트2055|20000801|30||213|17902|
1000002056|테스트2056|20000725|30||48|46332|
1000002057|테스트2057|20000728|30|4|55|23322|
1000002058|테스트2058|20000726|26|4|26|46204|
1000002059|테스트2059|20000727|40|4|13|41129|
1000002060|테스트2060|20000801|40|4|9|25121|
1000002061|테스트2061|20000801|30||158|47912|
1000002062|테스트2062|20000801|30|4|36|10129|
1000002063|테스트2063|20000803|30|4|5|14191|
1000002064|테스트2064|20000802|30|4|107|58222|
1000002065|테스트2065|20000805|40|4|15|42499|
1000002066|테스트2066|20000805|40|4|32|70113|
1000002067|테스트2067|20000810|40|4|15|41221|
1000002068|테스트2068|20000811|92|4|1|46313|
1000002069|테스트2069|20000818|40|4|11|28901|
1000002070|테스트2070|20000818|30|4|254|58221|
1000002071|테스트2071|20000818|40||29|46417|
1000002072|테스트2072|20001004|40|4|4|42194|
1000002073|테스트2073|20000901|30|4|1633|74211|
1000002074|테스트2074|20000901|40|4|10|46521|
1000002075|테스트2075|20000830|40|4|8|23999|
1000002076|테스트2076|20000901|30|2|189|47911|
1000002077|테스트2077|20001001|40|4|16|28123|
1000002078|테스트2078|20000901|21||318|58221|
1000002079|테스트2079|20000901|30||175|20202|
1000002080|테스트2080|20000907|40|5|3|58122|
1000002081|테스트2081|20000907|40|4|8|28511|
1000002082|테스트2082|20000919|40|4|12|58222|
1000002083|테스트2083|20000920|40|4|56|14111|
1000002084|테스트2084|20000921|40|4|13|42191|
1000002085|테스트2085|20000901|40|4|32|58222|
1000002086|테스트2086|20000925|40|4|5|46599|
1000002087|테스트2087|20001001|30|4|25|46739|
1000002088|테스트2088|20001009|21||219|66199|
1000002089|테스트2089|20001010|30|4|31|27212|
1000002090|테스트2090|20001016|40|4|6|10832|
1000002091|테스트2091|20001016|30|4|8|68112|
1000002092|테스트2092|20001021|30|4|24|24312|
1000002093|테스트2093|20001023|10|2|11141|31110|
1000002094|테스트2094|20001001|30|4|34|58111|
1000002095|테스트2095|20001025|40|4|24|46510|
1000002096|테스트2096|20001026|91|4|310|46441|
1000002097|테스트2097|20001028|30|4|94|52992|
1000002098|테스트2098|20001201|30||50|11202|
1000002099|테스트2099|20001101|40|4|17|27219|
1000002100|테스트2100|20001101|30||3134|10211|
1000002101|테스트2101|20001101|10|6|733|20501|
1000002102|테스트2102|20001101|30||38|46510|
1000002103|테스트2103|20001108|40|4|12|46800|
1000002104|테스트2104|20001106|30|4|60|29271|
1000002105|테스트2105|20001107|92|4|62|47912|
1000002106|테스트2106|20001110|40|4|37|56199|
1000002107|테스트2107|20001113|40|4|21|42412|
1000002108|테스트2108|20001113|40|4|17|72112|
1000002109|테스트2109|20001114|40|8|6|25111|
1000002110|테스트2110|20001115|40|4|14|41221|
1000002111|테스트2111|20001115|30|4|38|46750|
1000002112|테스트2112|20001123|40|4|41|46510|
1000002113|테스트2113|20001117|21|2|1006|21212|
1000002114|테스트2114|20001117|40|8|4|10309|
1000002115|테스트2115|20001117|40|4|8|68112|
1000002116|테스트2116|20001120|40|5|0|41229|
1000002117|테스트2117|20001121|30|4|23|46739|
1000002118|테스트2118|20001121|40|4|8|42201|
1000002119|테스트2119|20001123|30|4|2|68122|
1000002120|테스트2120|20001128|40|4|0|46733|
1000002121|테스트2121|20011105|40|4|8|15110|
1000002122|테스트2122|20001205|40|5|11|46721|
1000002123|테스트2123|20001206|40|4|21|14193|
1000002124|테스트2124|20010201|40|4|0|46311|
1000002125|테스트2125|20010102|30|2|6263|75122|
1000002126|테스트2126|20001211|40|8|4|29250|
1000002127|테스트2127|20001213|40|5|12|42121|
1000002128|테스트2128|20010101|40|4|14|14193|
1000002129|테스트2129|20001220|40|4|6|46800|
1000002130|테스트2130|20001227|40|4|6|42411|
1000002131|테스트2131|20001222|40|5|28|10791|
1000002132|테스트2132|20001226|30|4|86|24132|
1000002133|테스트2133|20010102|40|4|34|46521|
1000002134|테스트2134|20001227|10|2|1685|46800|
1000002135|테스트2135|20001227|10|2|5146|41112|
1000002136|테스트2136|20010101|30|4|50|42322|
1000002137|테스트2137|20010101|40|4|6|26310|
1000002138|테스트2138|20001229|21|4|295|58222|
1000002139|테스트2139|20010103|30|4|50|25111|
1000002140|테스트2140|20010104|40|4|17|52992|
1000002141|테스트2141|20010101|30||196|56199|
1000002142|테스트2142|20010104|30|4|53|46593|
1000002143|테스트2143|20010105|40|4|119|72121|
1000002144|테스트2144|20010106|40|4|13|46510|
1000002145|테스트2145|20010105|40|4|2|46800|
1000002146|테스트2146|20010110|40|4|10|29193|
1000002147|테스트2147|20010109|40|4|6|46595|
1000002148|테스트2148|20010110|40|4|4|46510|
1000002149|테스트2149|20010220|40|4|30|23111|
1000002150|테스트2150|20010110|40|5|10|47121|
1000002151|테스트2151|20010112|21||113|28119|
1000002152|테스트2152|20010116|21|4|97|33999|
1000002153|테스트2153|20010117|30|2|6680|72121|
1000002154|테스트2154|20010117|30|4|17|46539|
1000002155|테스트2155|20010119|21|4|76|20433|
1000002156|테스트2156|20010119|30||466|68223|
1000002157|테스트2157|20010119|21|4|242|58221|
1000002158|테스트2158|20010122|30|4|384|75122|
1000002159|테스트2159|20010320|40|4|9|41111|
1000002160|테스트2160|20010101|30|2|441|68223|
1000002161|테스트2161|20010206|30|4|40|46595|
1000002162|테스트2162|20010201|40|4|9|26519|
1000002163|테스트2163|20010205|30|4|13|46595|
1000002164|테스트2164|20010206|40|4|31|58222|
1000002165|테스트2165|20010203|40|4|8|42492|
1000002166|테스트2166|20010215|30|4|75|42492|
1000002167|테스트2167|20010212|30|4|220|30399|
1000002168|테스트2168|20010214|40|4|115|58222|
1000002169|테스트2169|20010215|40|5|6|27199|
1000002170|테스트2170|20010220|40|4|2|10220|
1000002171|테스트2171|20010216|30|4|74|46721|
1000002172|테스트2172|20010219|40|4|26|23221|
1000002173|테스트2173|20010220|30|4|21|25119|
1000002174|테스트2174|20010310|40|4|0|46741|
1000002175|테스트2175|20010222|10|2|2270|52992|
1000002176|테스트2176|20010303|40|4|20|20423|
1000002177|테스트2177|20010227|40|5|0|59112|
1000002178|테스트2178|20010302|40|4|10|49401|
1000002179|테스트2179|20010303|92|4|7|14192|
1000002180|테스트2180|20010306|40|4|5|72129|
1000002181|테스트2181|20010307|40|4|38|28111|
1000002182|테스트2182|20010323|30|4|11|41100|
1000002183|테스트2183|20010307|40|4|3|68122|
1000002184|테스트2184|20010325|29||251|20424|
1000002185|테스트2185|20010310|30|4|19|46731|
1000002186|테스트2186|20010312|30||201|91229|
1000002187|테스트2187|20010301|40|4|31|46522|
1000002188|테스트2188|20010314|40|4|6|71400|
1000002189|테스트2189|20010314|21|4|114|47911|
1000002190|테스트2190|20010420|40|4|14|96991|
1000002191|테스트2191|20010331|30||380|63112|
1000002192|테스트2192|20010322|40|4|3|46311|
1000002193|테스트2193|20010322|40|4|8|28512|
1000002194|테스트2194|20010323|92|4|15|46699|
1000002195|테스트2195|20010401|40|4|0|27213|
1000002196|테스트2196|20010324|40|4|10|46800|
1000002197|테스트2197|20010327|40|4|5|46800|
1000002198|테스트2198|20010329|40|4|48|72919|
1000002199|테스트2199|20010401|30|4|68|58113|
1000002200|테스트2200|20010401|40|4|5|46329|
1000002201|테스트2201|20010401|30|4|90|23325|
1000002202|테스트2202|20010403|30|4|40|46510|
1000002203|테스트2203|20010401|10|2|12840|20111|
1000002204|테스트2204|20010403|10|2|3978|20423|
1000002205|테스트2205|20010403|40|4|8|46510|
1000002206|테스트2206|20010404|30|5|7|68121|
1000002207|테스트2207|20010406|40|4|3|20321|
1000002208|테스트2208|20010406|30||251|72111|
1000002209|테스트2209|20010407|40||89|95212|
1000002210|테스트2210|20010418|40|4|54|62010|
1000002211|테스트2211|20010410|30|4|225|75999|
1000002212|테스트2212|20010412|40|4|15|26410|
1000002213|테스트2213|20010402|40|4|7|13999|
1000002214|테스트2214|20010412|30|4|27|42412|
1000002215|테스트2215|20010416|40|4|7|70112|
1000002216|테스트2216|20010502|40|4|10|76390|
1000002217|테스트2217|20010416|91||156|64992|
1000002218|테스트2218|20010420|40|4|16|58222|
1000002219|테스트2219|20010426|30|4|63|58222|
1000002220|테스트2220|20010502|40|4|5|46800|
1000002221|테스트2221|20010427|30|4|61|10421|
1000002222|테스트2222|20040302|40|4|6|42191|
1000002223|테스트2223|20010503|40|8|3|68119|
1000002224|테스트2224|20010504|40|5|15|26310|
1000002225|테스트2225|20010507|40|4|10|15129|
1000002226|테스트2226|20010508|40|4|12|28511|
1000002227|테스트2227|20010510|30|4|130|42412|
1000002228|테스트2228|20010511|40|4|14|29210|
1000002229|테스트2229|20010511|30|4|47|58222|
1000002230|테스트2230|20010512|40|8|3|73901|
1000002231|테스트2231|20010514|40|4|26|72121|
1000002232|테스트2232|20010514|40|4|37|26429|
1000002233|테스트2233|20010515|40|4|6|46599|
1000002234|테스트2234|20010516|30|2|360|55101|
1000002235|테스트2235|20010518|40|4|9|46451|
1000002236|테스트2236|20010523|30||10279|75991|
1000002237|테스트2237|20010531|21|4|83|70111|
1000002238|테스트2238|20010524|40|5|0|72111|
1000002239|테스트2239|20010531|40|4|7|41121|
1000002240|테스트2240|20010623|40|4|0|46312|
1000002241|테스트2241|20010601|30|4|23|46510|
1000002242|테스트2242|20010601|40|4|33|41121|
1000002243|테스트2243|20010601|40|5|21|26295|
1000002244|테스트2244|20060601|30|4|4|71531|
1000002245|테스트2245|20010613|30|4|1|41100|
1000002246|테스트2246|20010616|40|5|11|42499|
1000002247|테스트2247|20010618|40|8|4|46311|
1000002248|테스트2248|20010619|40|4|11|46800|
1000002249|테스트2249|20010625|30|4|34|22192|
1000002250|테스트2250|20010621|30|4|1|68112|
1000002251|테스트2251|20010621|40|5|0|46442|
1000002252|테스트2252|20010701|40|4|2|46733|
1000002253|테스트2253|20010622|30|4|12|46203|
1000002254|테스트2254|20010627|10|2|8984|63999|
1000002255|테스트2255|20010701|40|4|3|46595|
1000002256|테스트2256|20010701|40|4|6|42201|
1000002257|테스트2257|20010701|40|4|7|46731|
1000002258|테스트2258|20010701|30||468|68223|
1000002259|테스트2259|20010702|30|2|443|68223|
1000002260|테스트2260|20010702|30|4|89|33302|
1000002261|테스트2261|20010701|30||34|68112|
1000002262|테스트2262|20010702|30||508|68223|
1000002263|테스트2263|20010702|40|4|18|46325|
1000002264|테스트2264|20010705|40|4|17|46510|
1000002265|테스트2265|20010703|40|4|11|13224|
1000002266|테스트2266|20010704|30|4|28|26299|
1000002267|테스트2267|20010723|30|4|9|46712|
1000002268|테스트2268|20010709|40|4|28|58222|
1000002269|테스트2269|20010707|30|4|120|49232|
1000002270|테스트2270|20010811|40|4|13|26529|
1000002271|테스트2271|20010709|30||8|46739|
1000002272|테스트2272|20010711|21|4|59|26329|
1000002273|테스트2273|20010712|30|4|32|11202|
1000002274|테스트2274|20010701|30|2|315|46491|
1000002275|테스트2275|20010713|30|4|24|52929|
1000002276|테스트2276|20010713|40|4|5|46313|
1000002277|테스트2277|20010721|40|4|4|63991|
1000002278|테스트2278|20010723|30|4|76|14191|
1000002279|테스트2279|20010723|40|5|17|10219|
1000002280|테스트2280|20010727|40|4|18|14120|
1000002281|테스트2281|20101101|30|4|0|68112|
1000002282|테스트2282|20010801|40|4|25|58222|
1000002283|테스트2283|20010727|30|4|10|27301|
1000002284|테스트2284|20010727|30||9|46721|
1000002285|테스트2285|20010801|30||813|71531|
1000002286|테스트2286|20010801|30||74|46413|
1000002287|테스트2287|20010803|40|5|0|68112|
1000002288|테스트2288|20010809|30|4|25|42132|
1000002289|테스트2289|20010807|40|4|71|58221|
1000002290|테스트2290|20010809|30||3|46739|
1000002291|테스트2291|20010816|40|4|8|52941|
1000002292|테스트2292|20010808|40|4|10|71392|
1000002293|테스트2293|20010808|40|4|14|21309|
1000002294|테스트2294|20010814|40|4|4|10520|
1000002295|테스트2295|20010814|40|4|31|42201|
1000002296|테스트2296|20010816|40|4|18|27213|
1000002297|테스트2297|20010817|40|5|16|72121|
1000002298|테스트2298|20010824|30|4|25|71310|
1000002299|테스트2299|20010822|40|4|28|58222|
1000002300|테스트2300|20010823|40|4|23|42500|
1000002301|테스트2301|20010829|30|4|4|52992|
1000002302|테스트2302|20010824|40|4|13|26410|
1000002303|테스트2303|20010828|40|4|8|46595|
1000002304|테스트2304|20020909|40|4|6|46510|
1000002305|테스트2305|20010901|30|4|144|49311|
1000002306|테스트2306|20010903|40|5|0|68119|
1000002307|테스트2307|20010905|40|4|5|46721|
1000002308|테스트2308|20010915|30|4|22|52992|
1000002309|테스트2309|20010905|40|5|0|68119|
1000002310|테스트2310|20010903|40|4|4|46800|
1000002311|테스트2311|20010906|40|4|20|25113|
1000002312|테스트2312|20010907|40|4|27|42202|
1000002313|테스트2313|20010911|40|4|63|58222|
1000002314|테스트2314|20010921|40|4|21|75999|
1000002315|테스트2315|20010913|26|4|192|58221|
1000002316|테스트2316|20010913|40|4|3|46319|
1000002317|테스트2317|20010914|40|5|9|32099|
1000002318|테스트2318|20010917|30|4|31|46595|
1000002319|테스트2319|20010909|40|4|9|52101|
1000002320|테스트2320|20011010|40|4|7|46313|
1000002321|테스트2321|20010924|40|4|16|20422|
1000002322|테스트2322|20010924|30|4|2|46312|
1000002323|테스트2323|20050228|40|4|22|46510|
1000002324|테스트2324|20011001|21||426|30399|
1000002325|테스트2325|20011016|40|4|14|72129|
1000002326|테스트2326|20010927|30|4|20|46441|
1000002327|테스트2327|20011005|40|4|24|27301|
1000002328|테스트2328|20011009|30|4|35|42202|
1000002329|테스트2329|20011015|40|4|72|10612|
1000002330|테스트2330|20011020|30|4|51|31322|
1000002331|테스트2331|20011017|30|4|89|10309|
1000002332|테스트2332|20011019|40|4|4|56161|
1000002333|테스트2333|20011017|30|4|106|29193|
1000002334|테스트2334|20011018|40|4|20|10301|
1000002335|테스트2335|20011019|40|4|29|28909|
1000002336|테스트2336|20011019|40|4|31|29299|
1000002337|테스트2337|20011023|40|4|16|46721|
1000002338|테스트2338|20011024|40|4|3|46510|
1000002339|테스트2339|20011126|30|4|46|10122|
1000002340|테스트2340|20011026|40|4|18|26310|
1000002341|테스트2341|20011030|30|4|21|46510|
1000002342|테스트2342|20080501|40|4|9|14193|
1000002343|테스트2343|20011102|40|4|18|14193|
1000002344|테스트2344|20011102|40|4|5|46441|
1000002345|테스트2345|20011103|30|4|48|71531|
1000002346|테스트2346|20011105|30|2|11|46721|
1000002347|테스트2347|20011112|30|4|3|68112|
1000002348|테스트2348|20011112|10||533|21212|
1000002349|테스트2349|20011114|40|4|3|46721|
1000002350|테스트2350|20011114|40|8|9|29174|
1000002351|테스트2351|20011201|21|4|450|31322|
1000002352|테스트2352|20011121|40|4|23|31991|
1000002353|테스트2353|20011122|21|2|629|21100|
1000002354|테스트2354|20011123|40|4|20|72111|
1000002355|테스트2355|20131125|40|4|0|47813|
1000002356|테스트2356|20020101|30|4|32|71531|
1000002357|테스트2357|20011128|40|4|3|46599|
1000002358|테스트2358|20011204|40|4|52|62022|
1000002359|테스트2359|20020101|30|2|859|29162|
1000002360|테스트2360|20011207|40|4|35|42412|
1000002361|테스트2361|20011213|30||11|41110|
1000002362|테스트2362|20020103|40|4|27|72121|
1000002363|테스트2363|20011214|30|4|3|46721|
1000002364|테스트2364|20011215|30|4|35|29172|
1000002365|테스트2365|20011217|40|5|0|69310|
1000002366|테스트2366|20020102|40|4|27|46432|
1000002367|테스트2367|20020101|40|4|8|46800|
1000002368|테스트2368|20011220|40|5|7|29210|
1000002369|테스트2369|20011224|92|4|15|46521|
1000002370|테스트2370|20011224|40|5|9|46599|
1000002371|테스트2371|20020103|91|4|212|21212|
1000002372|테스트2372|20020102|21||632|10897|
1000002373|테스트2373|20020102|30|4|8|41112|
1000002374|테스트2374|20020102|30|4|38|14191|
1000002375|테스트2375|20020102|40|4|20|62090|
1000002376|테스트2376|20020102|40|4|14|46533|
1000002377|테스트2377|20020101|30|2|583|30393|
1000002378|테스트2378|20020101|30||430|68223|
1000002379|테스트2379|20020101|30|2|504|68112|
1000002380|테스트2380|20020103|40|4|6|46713|
1000002381|테스트2381|20020104|40|4|28|46433|
1000002382|테스트2382|20020104|30|4|396|74100|
1000002383|테스트2383|20020107|30||70|14112|
1000002384|테스트2384|20020108|40|4|7|46721|
1000002385|테스트2385|20020109|40|4|15|42311|
1000002386|테스트2386|20020111|40|4|30|58222|
1000002387|테스트2387|20020115|40|4|4|75210|
1000002388|테스트2388|20020115|40|4|26|46591|
1000002389|테스트2389|20020115|40|4|5|62021|
1000002390|테스트2390|20020101|40|4|99|58221|
1000002391|테스트2391|20020201|40|4|2|46203|
1000002392|테스트2392|20020118|40|4|12|46510|
1000002393|테스트2393|20141120|40|4|0|46464|
1000002394|테스트2394|20020118|30|4|29|46203|
1000002395|테스트2395|20020118|30||163|42420|
1000002396|테스트2396|20020122|40|4|36|61299|
1000002397|테스트2397|20020122|30|4|90|14112|
1000002398|테스트2398|20020124|40|5|2|46594|
1000002399|테스트2399|20020124|30|4|4|68111|
1000002400|테스트2400|20020130|40|4|62|24199|
1000002401|테스트2401|20020201|40|4|20|10111|
1000002402|테스트2402|20020201|40|4|3|23323|
1000002403|테스트2403|20020125|30|4|11|58222|
1000002404|테스트2404|20020501|30|4|4|68112|
1000002405|테스트2405|20020215|40|4|5|28123|
1000002406|테스트2406|20020218|40|4|13|42121|
1000002407|테스트2407|20020219|30|4|42|10421|
1000002408|테스트2408|20020225|30||244|85503|
1000002409|테스트2409|20020301|40|4|0|46313|
1000002410|테스트2410|20020227|30|4|60|26429|
1000002411|테스트2411|20020201|40|4|15|17229|
1000002412|테스트2412|20020304|40|4|4|20493|
1000002413|테스트2413|20020305|40|4|7|46739|
1000002414|테스트2414|20020305|40|4|26|23211|
1000002415|테스트2415|20020306|30|6|850|72122|
1000002416|테스트2416|20020308|40|4|0|49401|
1000002417|테스트2417|20020314|40|4|40|46510|
1000002418|테스트2418|20020101|40|4|22|59113|
1000002419|테스트2419|20020315|40|4|38|42420|
1000002420|테스트2420|20020316|40|4|6|46203|
1000002421|테스트2421|20020318|30|4|10|46441|
1000002422|테스트2422|20020320|40|4|12|71310|
1000002423|테스트2423|20020415|40|4|5|33999|
1000002424|테스트2424|20020322|40|5|0|22299|
1000002425|테스트2425|20020326|26|4|179|10895|
1000002426|테스트2426|20020401|30||216|62021|
1000002427|테스트2427|20020401|40|4|0|56111|
1000002428|테스트2428|20020401|10|2|34068|26400|
1000002429|테스트2429|20020402|30|2|254|21212|
1000002430|테스트2430|20020401|30||422|46332|
1000002431|테스트2431|20020402|40|4|9|46510|
1000002432|테스트2432|20020408|40|4|8|42412|
1000002433|테스트2433|20020406|40|4|4|15129|
1000002434|테스트2434|20020409|40|4|30|10602|
1000002435|테스트2435|20020409|40|4|6|58222|
1000002436|테스트2436|20020409|30|4|0|71392|
1000002437|테스트2437|20020411|40|4|23|46312|
1000002438|테스트2438|20020510|30||63|20499|
1000002439|테스트2439|20020412|40|4|20|46452|
1000002440|테스트2440|20020423|30|4|58|41129|
1000002441|테스트2441|20020417|40|4|45|27309|
1000002442|테스트2442|20020425|10|4|156|14192|
1000002443|테스트2443|20020429|40|4|43|95391|
1000002444|테스트2444|20020501|40|4|4|28512|
1000002445|테스트2445|20020502|30|4|679|66201|
1000002446|테스트2446|20020501|30|4|29|46510|
1000002447|테스트2447|20020504|40|4|10|10511|
1000002448|테스트2448|20020508|10||355|47111|
1000002449|테스트2449|20020513|30|4|140|73902|
1000002450|테스트2450|20020514|40|8|8|47911|
1000002451|테스트2451|20020516|92|4|11|46800|
1000002452|테스트2452|20020520|40|4|18|46433|
1000002453|테스트2453|20020520|40|4|26|46322|
1000002454|테스트2454|20020522|40|4|11|10891|
1000002455|테스트2455|20020524|30|4|69|42311|
1000002456|테스트2456|20020524|40|4|13|27213|
1000002457|테스트2457|20020801|30||570|46441|
1000002458|테스트2458|20020527|40|4|16|25999|
1000002459|테스트2459|20020530|40|4|6|46800|
1000002460|테스트2460|20020601|30|4|8|68112|
1000002461|테스트2461|20020531|30|4|75|28903|
1000002462|테스트2462|20020630|40|4|33|29162|
1000002463|테스트2463|20020601|30||401|52992|
1000002464|테스트2464|20020605|40|4|9|14111|
1000002465|테스트2465|20020605|21|2|918|85631|
1000002466|테스트2466|20020607|40|4|32|14491|
1000002467|테스트2467|20020607|40|4|18|46800|
1000002468|테스트2468|20020611|40|4|67|72129|
1000002469|테스트2469|20020612|29|4|5|10895|
1000002470|테스트2470|20020612|40|4|20|10891|
1000002471|테스트2471|20020615|40|4|20|42600|
1000002472|테스트2472|20020612|30|4|92|85631|
1000002473|테스트2473|20020620|40|4|5|68112|
1000002474|테스트2474|20020629|40|4|6|49301|
1000002475|테스트2475|20020620|40|5|10|29173|
1000002476|테스트2476|20020622|40|4|10|58222|
1000002477|테스트2477|20020701|92|4|40|22223|
1000002478|테스트2478|20020628|40|4|4|10895|
1000002479|테스트2479|20020702|30|4|20|91199|
1000002480|테스트2480|20020626|30||300|46464|
1000002481|테스트2481|20020629|30|4|157|10121|
1000002482|테스트2482|20020702|91|2|2762|41221|
1000002483|테스트2483|20020702|30|4|3|71310|
1000002484|테스트2484|20020702|40|4|3|46800|
1000002485|테스트2485|20020702|10|4|219|58113|
1000002486|테스트2486|20020703|40|4|39|42412|
1000002487|테스트2487|20020701|30||473|68223|
1000002488|테스트2488|20020704|40|4|2|46311|
1000002489|테스트2489|20020705|30|4|54|62021|
1000002490|테스트2490|20020710|21|4|249|63991|
1000002491|테스트2491|20020820|30|4|15|49301|
1000002492|테스트2492|20020717|30|4|7|46539|
1000002493|테스트2493|20020712|30||9|52914|
1000002494|테스트2494|20020729|30|4|42|10309|
